Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FAN_SPD_5,Real,%DB40.DBD256,STOKER PID AIR FAN SPEED POINT 5,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FAN_SPD_1,Real,%DB40.DBD32,STOKER PID AIR FAN SPEED POINT 1,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_PID_FLOW_3,Real,%DB40.DBD184,STOKER PID AIR FLOW POINT 3,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.DAMPERS.CP13R4_K288,Bool,%DB45.DBX30.0,CP13 RACK 4 OPEN PRIMARY AIR DAMPER,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.RS_AIR_VLV_STAT,Int,%DB1.DBW232,RESIDUE SILO AIR FLUIDISATION VALVE STATUS,Cyclic in operation,1 s
IDB CP8 SPRHEAT SOOTBL 1.Status.StatusWord,Int,%DB117.DBW22,Motor Status Word,Cyclic in operation,1 s
STOP 1MTR10,Timer,%T46,CP3 DISTRIBUTION SCREW STOP DELAY TIMER,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK4.MAINS_VOLTAGE,DInt,%DB400.DBD216,MAINS VOLTAGE,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FAN_SPD_OUT_1,Real,%DB40.DBD52,STOKER PID AIR FAN SPEED OUTPUT 1,Cyclic in operation,1 s
Stoker2PID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.START.TIMERS.ASH_SYS,S5Time,%DB30.DBW152,ASH CONVEYING AND STORAGE SYSTEM,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.WOOD_FEED.STOKER_1_MAN_MD,Bool,%DB1.DBX5.0,CP3 STOKER 1 TRAVERSE MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TT07.HI,Real,%DB41.DBD3268,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SEND/RECV COOLER 2.SEND.GENERAL.REMOTE_RUN,Bool,%DB162.DBX70.7,0 = STOP / 1 = RUN,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TT01.HI,Real,%DB41.DBD3012,HIGH ALARM SETPOINT,Cyclic in operation,1 s
