Name,DataType,Address,Comment [en-GB],Acquisition mode,Acquisition cycle
IDB CP13 FILT SCREW B DP.Load,Real,%DB548.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
2CV02_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.GRT_2_PID_FLOW_OUT_2,Real,%DB40.DBD512,GRATE PID AIR FLOW OUTPUT 2,Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_13,Bool,%DB2.DBX295.4,Profibus Node,Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK2.GENERATOR_VIB,DInt,%DB400.DBD64,VIBRATION MONITORING AT GENERATOR mm/s (x100),Cyclic in operation,1 s
2CV05_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS.SUPPLIES.WORD5.ALARM15,Bool,%DB11.DBX95.6,CP3 EN-MASSE CHAIN CONVEYOR TENSIONER ALARM,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE.WINDING_TEMP_U,Real,%DB42.DBD1140,WINDING TEMPERATURE U,Cyclic in operation,1 s
1CV05_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
IDB CP2 HYD PUMP.Rem_Cmds.RunFwd,Bool,%DB100.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S2531,Bool,%DB45.DBX21.7,CP13 RACK 4 RESIDUE SILO MAINTENANCE BUTTERFLY VALVE OPENED,Cyclic in operation,1 s
DB LV GRID POWER METER.KVArh,Real,%DB200.DBD168,REACTIVE ENERGY USAGE (KVArh),Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S2552,Bool,%DB45.DBX22.3,CP13 RACK 4 BICARB SILO MAINTENANCE BUTTERFLY VALVE CLOSED,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_WTR_TANK_PRDS_CTRL.OP_MIN,Real,%DB40.DBD1192,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.STOP.TIMERS.SCRAP_CHN_CONV_1MTR03,S5Time,%DB30.DBW116,SCRAPER CHAIN CONVEYOR,Cyclic in operation,1 s
DB SEND/RECV COOLER 3.RECV.GENERAL.PUMP_STATUS,Int,%DB163.DBW2,COOLER PUMP STATUS,Cyclic in operation,1 s
DB SEND/RECV COOLER 1.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_LO,Real,%DB161.DBD190,CIRCULATION WATER OUTLET TEMPERATURE LOW ALARM,Cyclic in operation,1 s
IDB FEED PUMP 1 PBUS.Recv.StatusWord,Word,%DB508.DBW20,Status Word,Cyclic in operation,1 s
IDB FEED PUMP 1 PBUS.Status.ActualSpeed,Real,%DB508.DBD38,Actual Speed in Percentage (%),Cyclic in operation,1 s
DB ALARMS TO SCADA.PROCESS.WORD1,Int,%DB12.DBW104,PROCESS ALARMS - WORD 1,Continuous,1 s
DB SETPOINTS.TIMERS.PUSH_FLOOR.CP2_TRAV_INTERVAL,Int,%DB40.DBW870,PUSH FLOOR TRAVERSE INTERVAL TIME (SEC),Cyclic in operation,1 s
DB PROCESS VALUES.PID.SECOND_FAN.RAMP_ACTV,Bool,%DB42.DBX1710.0,RAMP ACTIVE,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BOILER.BLOWDOWN_COOL_VLV_MD,Bool,%DB1.DBX22.5,CP19 BLOWDOWN VESSEL WATER COOLING VALVE MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
S5_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
1MTR02_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.BS_HOPPER_NB_PULSES,Int,%DB1.DBW218,BICARB SILO HOPPER PULSE VALVE NUMBER OF PULSES,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TSZ03.HYST,Real,%DB41.DBD2608,ALARM HISTERESYS,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.VALVES.CP8_2CV05,Bool,%DB45.DBX16.0,CP8 STEAM DRAIN VALVE 2CV05 SOLENOID,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.BURNER.BRN_MAIN_CAL_OFFSET,Real,%DB40.DBD384,BURNER MAIN VACUUM SENSOR CALIBRATION OFFSET VALUE (mBar),Cyclic in operation,1 s
RecircAirDamper_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.INTEGRAL,Int,%DB40.DBW1784,I TERM (TI),Cyclic in operation,1 s
STRT ID FANS,Timer,%T110,MAIN FILTER FANS START DELAY TIMER,Cyclic in operation,1 s
IDB CP3 DISTRIB SCREW DP.Status,Int,%DB541.DBW2,Motor Status,Cyclic in operation,1 s
DB SEND/RECV COOLER 2.SEND.TIMES.MIN_RUN_TIME,Time,%DB162.DBD214,COOLER MINIMUM RUN TIME,Cyclic in operation,1 s
S8_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
IDB CP13 PAC FEED SCREW.Status.StatusWord,Int,%DB144.DBW22,Motor Status Word,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_PUMP.SP,Real,%DB40.DBD1858,INTERNAL SETPOINT,Cyclic in operation,1 s
DB ALARMS TO SCADA.PROCESS.WORD4,Int,%DB12.DBW110,PROCESS ALARMS - WORD 4,Continuous,1 s
DB ALARM SETPOINTS.CP13R4_1FT02.LOLO,Real,%DB41.DBD1356,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_OBSTR_PRESET,Real,%DB40.DBD28,STOKER 3 OBSTRUCTION ALARM COUNTER PRESET,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.SOOTBLOWERS.CP8_2SW12,Bool,%DB45.DBX12.7,CP8 ECONOMISER SOOTBLOWER 2 EXTENDED PROXIMITY SWITCH,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD6.CP19_2TT02,Bool,%DB11.DBX19.7,CP19 TEMPERATURE AFTER DESUPERHEATER,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_PID_FAN_SPD_OUT_3,Real,%DB40.DBD164,STOKER PID AIR FAN SPEED OUTPUT 3,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_8PT01.HIHI,Real,%DB41.DBD1664,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD7.CP19_2TT05,Bool,%DB11.DBX20.2,CP19 SOOTBLOWER STEAM DRAIN TEMPERATURE,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S2581,Bool,%DB45.DBX24.1,CP13 RACK 4 BICARB SILO SURGE HOPPER EMPTY LEVEL PROBE,Cyclic in operation,1 s
IDB CP2 HYD PUMP.Rem_Cmds.RemoteCtrl,Bool,%DB100.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_PID_FLOW_5,Real,%DB40.DBD192,STOKER PID AIR FLOW POINT 5,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.WOOD_FEED.STK_2_TRAV_INTERVAL,Int,%DB40.DBW884,STOKER 2 TRAVERSE INTERVAL TIME (SEC),Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.SOOTBLOWERS.CP8_2SW04,Bool,%DB45.DBX10.7,CP8 SUPERHEATER SOOTBLOWER 2 EXTENDED PROXIMITY SWITCH,Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_41,Bool,%DB2.DBX299.0,Profibus Node,Cyclic in operation,1 s
FeederScrewPID_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
IDB CP12 ALTERN COOL DP.Load,Real,%DB545.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
DB SETPOINTS.PID.HI_TEMP_CTRL_STEAM.OP_MIN,Real,%DB40.DBD1514,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
DB SAFETY.RECV.CP13d_3PS04,Bool,%DB44.DBX3.7,CP13d PLANT AIR PRESSURE HEALTHY (1=HEALTHY),Cyclic in operation,1 s
DB CP12 TURBINE.BLOCK5.ALARM114,Bool,%DB400.DBX238.2,CONDENSATE PUMP 2 RUNNING,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.SOOTBLOWERS.CP8_SOOTBLOW_RNG_NB,Int,%DB1.DBW258,CP8 NUMBER OF SOOTBLOWER RUNNING,Cyclic in operation,1 s
8CS03_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
SECOND FAN OK AUTOSTART,Bool,%M136.0,SECONDARY FAN READY / AVAILABLE FOR SYSTEM AUTO START,Cyclic in operation,1 s
8VAS02_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD5.CP18_1PT02,Bool,%DB11.DBX17.5,CP18 MOVING GRATE PRESSURE TRANSMITTER 2,Cyclic in operation,1 s
DB SAFETY.RECV.E13c_K436_ON,Bool,%DB44.DBX7.3,COMBUSTION FAN PANEL CP13d SAFETY CONTACTOR ENERGISED (1=ON),Cyclic in operation,1 s
2MTR05_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS.COOLERS.COOLER2.WORD2.COMMS_FAULT,Bool,%DB11.DBX136.0,COMMUNICATION FAULT,Cyclic in operation,1 s
DB SEND/RECV COOLER 3.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_LO,Real,%DB163.DBD190,CIRCULATION WATER OUTLET TEMPERATURE LOW ALARM,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3PI01b.HI,Real,%DB41.DBD1092,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FAN_SPD_1,Real,%DB40.DBD240,STOKER PID AIR FAN SPEED POINT 1,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP7_U75.HI,Real,%DB41.DBD580,HIGH ALARM SETPOINT,Cyclic in operation,1 s
IDB CP13 RS SLEW RING DP.Status,Int,%DB557.DBW2,Motor Status,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_SPARE1.HI,Real,%DB41.DBD1060,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.PUSH_FLOOR.CP2_1SW22_MAX,Bool,%DB45.DBX3.0,CP2 PUSH FLOOR LADDER No 3 MAXIMUM PROXIMITY,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.WOOD_FEED.STOKER_3_MAN_ST,Bool,%DB1.DBX6.1,CP3 STOKER 3 TRAVERSE MANUAL START SELECT (SCADA),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.OP_MAX,Real,%DB40.DBD1786,OUTPUT MAX VALUE (LMN_HLM),Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD4.CP17_4LC02,Bool,%DB11.DBX15.1,CP17 DEAERATOR WATER LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
DB LV GEN POWER METER.KVArtot,Real,%DB201.DBD160,TOTAL REACTIVE POWER (KVAr),Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.PUSH_FLOOR.CP2_Q15,Bool,%DB45.DBX2.1,CP2 110VAC CONTROL SUPPLY HEALTHY,Cyclic in operation,1 s
DB SETPOINTS.PID.SECOND_FAN.OP_SCALE,Real,%DB40.DBD1426,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
DB SEND/RECV COOLER 5.SEND.ALARM_SETPOINTS.CIRC_WATER_TEMP_HI,Real,%DB165.DBD186,CIRCULATION WATER OUTLET TEMPERATURE HIGH ALARM,Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_23,Bool,%DB2.DBX296.6,Profibus Node,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_1_PID_FAN_SPD_4,Real,%DB40.DBD44,STOKER PID AIR FAN SPEED POINT 4,Cyclic in operation,1 s
IDB ST HYD PUMP 1 PBUS.Recv.StatusWord,Word,%DB500.DBW20,Status Word,Cyclic in operation,1 s
STRT PAC DOSING,Timer,%T115,P.A.C. DOSING SYSTEM START DELAY TIMER,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP7_7PLT07.LOLO,Real,%DB41.DBD684,LOW LOW ALARM SETPOINT,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_8LT01.LO,Real,%DB41.DBD1608,LOW ALARM SETPOINT,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD3.CP13R4_1TT10,Bool,%DB11.DBX13.3,CP13 RACK 4 PRIMARY AIR TEMPERATURE,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.FILTER.RS_MAINT_VLV_OPN,Bool,%DB1.DBX30.5,RESIDUE SILO MAINTENANCE BUTTERFLY VALVE MANUAL OPEN SELECT (SCADA),Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE_2.REACT_POWER,Real,%DB42.DBD1408,REACTIVE POWER,Cyclic in operation,1 s
DB LV GRID POWER METER.M4_PAC3200.PF2,Real,%DB200.DBD76,POWER FACTOR PHASE 2,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP18_1PT01,Real,%DB42.DBD304,CP18 MOVING GRATE PRESSURE TRANSMITTER 1 (4-20mA = -500-200 mBar),Cyclic in operation,1 s
1MTR13_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.OP_MODES.OP_MODE_9,Bool,%DB30.DBX9.1,SYSTEM IN OPERATION MODE 9 (SHUTDOWN 3 - COOLING),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_SPD_OFFSET,Real,%DB40.DBD224,STOKER SPEED OFFSET,Cyclic in operation,1 s
CP7 AUTO C_OVER OCC,Bool,%M142.3,CP7 BOILER FEED PUMP AUTO CHANGEOVER OCCURED,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BOILER.STEAM_STOP_VLV_OPN,Bool,%DB1.DBX22.4,CP8 STEAM STOP VALVE MANUAL OPEN SELECT (SCADA),Cyclic in operation,1 s
EXEC MODE No REQ,Int,<No Value>,<No Value>,Cyclic in operation,1 s
DB SYSTEM CONTROL.FILTER.START.TIMERS.PAC_DOSING,S5Time,%DB30.DBW160,P.A.C. DOSING SYSTEM,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.LO.WORD4.CP17_8LT01,Bool,%DB11.DBX56.2,CP17 PLANT WATER TANK LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
IDB CP13 RS HORIZ SCREW.Rem_Cmds.RunFwd,Bool,%DB134.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SETPOINTS.PID.PRIM_FAN.MANUAL_VAL,Real,%DB40.DBD1362,PID OUTPUT IN MANUAL (MAN),Cyclic in operation,1 s
3Pw482_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS TO SCADA.SUPPLIES.WORD4,Int,%DB12.DBW92,POWER SUPPLY ALARMS - WORD 4,Continuous,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP19_2PT05,Real,%DB42.DBD364,CP19 SOOTBLOWER STEAM PRESSURE (4-20mA = 0-63 Bar),Cyclic in operation,1 s
IDB CP5 OIL BURNER.Status.StatusWord,Int,%DB125.DBW22,Motor Status Word,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.BURNER.BRN_BKUP_VAC_CAL_VAL,Real,%DB42.DBD1232,BURNER VACUUM SENSOR 1PT02 CALIBRATED VALUE (mBar),Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BURNER.O2_PURGE_ON,Bool,%DB1.DBX39.0,O2 METER PURGE MANUAL ON SELECT (SCADA),Cyclic in operation,1 s
DB MV TURB POWER METER.KVA3,Real,%DB202.DBD124,APPARANT POWER PHASE 3 (KVA),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.OP_OFFSET,Real,%DB40.DBD1798,OUTPUT OFFSET (LMN_OFF),Cyclic in operation,1 s
IDB PLC.Profibus.Nodes.Node_35,Bool,%DB2.DBX298.2,Profibus Node,Cyclic in operation,1 s
DB ALARMS TO SCADA.SULPHUR_DOS.WORD2,Int,%DB12.DBW128,SULPHUR DOSING ALARMS - WORD 2,Continuous,1 s
DB SYSTEM CONTROL.GENERAL.MAIN_CTRL.EXEC_OVERRIDE_EN,Bool,%DB30.DBX0.7,SYSTEM EXECUTIVE OVERRIDE MODE ENABLE,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP13R4_3TI01b.HYST,Real,%DB41.DBD1040,ALARM HISTERESYS,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.LO.WORD6.CP19_2LT01,Bool,%DB11.DBX60.3,CP19 DP CELL WATER LEVEL,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.PUSH_FLOOR.CP2_LAD_2_INSERV,Bool,%DB1.DBX2.5,CP2 PUSH FLOOR LADDER 2 IN SERVICE,Cyclic in operation,1 s
DB PROCESS VALUES.PID.BOILER_FEED_WATER_VLV.OUTPUT,Real,%DB42.DBD1608,OUTPUT VALUE,Cyclic in operation,1 s
DB SEND/RECV COOLER 4.SEND.GENERAL.START_COOLER,Bool,%DB164.DBX70.5,<No Value>,Cyclic in operation,1 s
IDB CP12 ALTERNTR COOLER.Rem_Cmds.RunFwd,Bool,%DB173.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.OPN_SHT.WORD4.CP17_8LT04,Bool,%DB11.DBX14.3,CP17 TREATED WATER TANK LEVEL TRANSDUCER (4-20mA = 0-100%),Cyclic in operation,1 s
STRT 1MTR03,Timer,%T53,CP2 SCRAPER CHAIN CONVEYOR START DELAY TIMER,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_PUMP.CYCLE_TIME,Int,%DB40.DBW1866,SAMPLE TIME (CYCLE),Cyclic in operation,1 s
DB SETPOINTS.PID.ID_FAN.INTEGRAL,Int,%DB40.DBW1278,I TERM (TI),Cyclic in operation,1 s
DB SETPOINTS.PID.RECIRC_FAN.SP,Real,%DB40.DBD1306,INTERNAL SETPOINT,Cyclic in operation,1 s
1HR02_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB LV GEN POWER METER.KVAtot,Real,%DB201.DBD152,TOTAL APPARANT POWER (KVA),Cyclic in operation,1 s
IDB FEED PUMP 2 PBUS.Status.Load,Real,%DB509.DBD42,Drive Load in Percentage (%),Cyclic in operation,1 s
IDB REC AIR FAN PBUS.Recv.StatusWord,Word,%DB515.DBW24,Status Word,Cyclic in operation,1 s
DB SETPOINTS.PID.STOKER_1.SP,Real,%DB40.DBD1444,INTERNAL SETPOINT,Cyclic in operation,1 s
DB ALARMS.COOLERS.COOLER4.WORD2.COMMS_FAULT,Bool,%DB11.DBX144.0,COMMUNICATION FAULT,Cyclic in operation,1 s
CP3 1SW16 FLT,Bool,%M64.2,CP3 SCRAPER CHAIN CONVEYOR TENSION MONITOR 1 FAULT,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.FILTER.RS_VIB_STAT,Int,%DB1.DBW234,RESIDUE SILO VIBRATOR STATUS,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S254,Bool,%DB45.DBX22.0,CP13 RACK 4 RESIDUE SILO MAINTENANCE BUTTERFLY VALVE CLOSED,Cyclic in operation,1 s
CP8 START SOOTBLOW,Bool,%M88.1,CP8 START SOOTBLOWERS,Cyclic in operation,1 s
DB SYSTEM CONTROL.GENERAL.MAIN_CTRL.FEED_PUMPS_START,Bool,%DB30.DBX1.1,START BOILER FEED PUMP(S) (FROM SCADA),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2TSZ03.HIHI,Real,%DB41.DBD2592,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB PROCESS VALUES.PID.FEED_WTR_TANK_PRDS_CTRL.CURR_SP,Real,%DB42.DBD1562,CURRENT RAMP SETPOINT,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.BURNER.CP18_1SW47,Bool,%DB45.DBX15.3,CP18 GRATE 2 REVERSE SWITCH 2,Cyclic in operation,1 s
S6_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_K2721,Bool,%DB45.DBX21.3,CP13 RACK 4 FILTER 2 INLET VALVE A OPEN SOLENOID 3VAS01a1,Cyclic in operation,1 s
DB MISCELLANEOUS.INTEGERS.WOOD_FEED.STK_3_PID_SEL_PV,Int,%DB1.DBW188,"CP3 STOKER 3 FEED PID (0 = STANDARD, 1 = LAMBDA, 2 = FAN SPEED, 3 = AIR FLOW)",Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BOILER.STEAM_DRAIN_VLV_OPN,Bool,%DB1.DBX22.2,CP8 STEAM DRAIN VALVE MANUAL OPEN SELECT (SCADA),Cyclic in operation,1 s
IDB CP13 FILTER SEAL B.Rem_Cmds.RemoteCtrl,Bool,%DB129.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB PROCESS VALUES.EMISSIONS.CO2_PCT,Real,%DB42.DBD808,CARBON DIOXIDE CO2 (%),Continuous,1 s
DB PROCESS VALUES.ANALOGUE.OUTPUTS.CP17_2CV07_REF,Real,%DB42.DBD624,CP17 PRESSURE REDUCING DESUPERHEATER VALVE HP STEAM TO FW TANK (4-20mA = 0-100%,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_SPD_OFFSET,Real,%DB40.DBD328,STOKER SPEED OFFSET,Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_3_PID_FLOW_OUT_1,Real,%DB40.DBD300,STOKER PID AIR FLOW OUTPUT 1,Cyclic in operation,1 s
DB ALARMS TO SCADA.SULPHUR_DOS.WORD1,Int,%DB12.DBW126,SULPHUR DOSING ALARMS - WORD 1,Continuous,1 s
IDB CP3 GRATE HYD PMP 2.Status.Running,Bool,%DB116.DBX20.7,Motor Running,Cyclic in operation,1 s
DB PROCESS VALUES.ANALOGUE.INSTRUMENTS.CP18_1TT06,Real,%DB42.DBD276,CP18 STOKER TEMPERATURE PROBE 2 (PT100) (0-150 ºC),Cyclic in operation,1 s
DB MV TURB POWER METER.M6_PAC3200.I2,Real,%DB202.DBD28,CURRENT PHASE 2 (AMPS),Cyclic in operation,1 s
IDB ST HYD PUMP 3 PBUS.Status.ErrorCode,Int,%DB502.DBW46,Last Trip Code,Cyclic in operation,1 s
DB MV TURB POWER METER.KVAr3,Real,%DB202.DBD148,REACTIVE POWER PHASE 3 (KVAr),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP7_7PLT07.HI,Real,%DB41.DBD676,HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB SETPOINTS.PID.FEED_WTR_TANK_TEMP_CTRL.OP_SCALE,Real,%DB40.DBD1748,OUTPUT SCALE FACTOR (LMN_FAC),Cyclic in operation,1 s
DB SETPOINTS.SETPOINT.WOOD_FEED.STK_2_PID_FLOW_OUT_1,Real,%DB40.DBD196,STOKER PID AIR FLOW OUTPUT 1,Cyclic in operation,1 s
DB ALARMS.PROCESS.WORD3.CP19_2CV02_TIMEOUT,Bool,%DB11.DBX109.3,CP19 SUPERHEATER 2 BLOW OUT VALVE TIMEOUT ALARM,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_4PT01.HIHI,Real,%DB41.DBD1728,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE_2.VOLT_L3_L1,Real,%DB42.DBD1420,VOLTAGE L3-L1,Cyclic in operation,1 s
DB ALARM SETPOINTS.CP17_2FT01.HIHI,Real,%DB41.DBD2016,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
1MTR15_Popup,Bool,<No Value>,<No Value>,Cyclic in operation,1 s
DB ALARMS TO SCADA.ANALOGUE.LO.WORD6,Int,%DB12.DBW60,LOW ALARMS - WORD 6,Continuous,1 s
DB SYSTEM CONTROL.FILTER.START.BITS.PAC_DOSING,Bool,%DB30.DBX148.5,P.A.C. DOSING SYSTEM,Cyclic in operation,1 s
DB SETPOINTS.TIMERS.WOOD_FEED.FUEL_DAMPER_TIMEOUT,Int,%DB40.DBW896,FUEL DAMPER TIMEOUT ALARM TIME (SEC),Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.TURBINE_2.EXH_PRESS,Real,%DB42.DBD1400,EXHAUST STEAM PRESSURE,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.SOOTBLOWERS.CP8_SOOTB_7_INSERV,Bool,%DB1.DBX21.6,CP8 SOOTBLOWER 7 IN SERVICE,Cyclic in operation,1 s
DB ALARMS.PROCESS.WORD6.CP3_CHEM_TANK_2_LVL_LO,Bool,%DB11.DBX114.6,CP3 LOW PRESSURE PUMP 2 CHEMICAL TANK LEVEL LOW ALARM,Cyclic in operation,1 s
IDB CP13 RS SLEW RING DP.Load,Real,%DB557.DBD4,Motor Load in Percentage (%),Cyclic in operation,1 s
DB ALARM SETPOINTS.CP19_2LT01.HIHI,Real,%DB41.DBD2656,HIGH HIGH ALARM SETPOINT,Cyclic in operation,1 s
IDB CP13 UREA SKID SYS.Rem_Cmds.RemoteCtrl,Bool,%DB148.DBX18.0,0 = Local Control / 1 = Remote Control,Cyclic in operation,1 s
DB LV GRID POWER METER.KVAr1,Real,%DB200.DBD140,REACTIVE POWER PHASE 1 (KVAr),Cyclic in operation,1 s
DB SETPOINTS.PID.BICARB_FEED.MANUAL_VAL,Real,%DB40.DBD1776,PID OUTPUT IN MANUAL (MAN),Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.FILTER.CP13R4_S2561,Bool,%DB45.DBX23.5,CP13 RACK 4 BICARB SILO PRESSURE SWITCH,Cyclic in operation,1 s
DB ALARMS.ANALOGUE.HI.WORD4.CP17_4PT01,Bool,%DB11.DBX42.6,CP17 DEAERATOR PRESSURE TRANSDUCER (4-20mA = xx Bar),Cyclic in operation,1 s
DB SYSTEM CONTROL.WOOD_FEED.STOP.BITS.DISTRIB_SCREW_1MTR10,Bool,%DB30.DBX110.6,HOPPER DISTRIBUTION SCREW,Cyclic in operation,1 s
IDB CP3 ASH SCRAPER CONV.Rem_Cmds.RunFwd,Bool,%DB111.DBX18.1,0 = Stop / 1 = Run Forward,Cyclic in operation,1 s
DB SETPOINTS.PID.OIL_BURNER.OP_MIN,Real,%DB40.DBD1698,OUTPUT MIN VALUE (LMN_LLM),Cyclic in operation,1 s
DB PROCESS VALUES.MISCELLANEOUS.WOOD_FEED.STK_PID_AIR_LAMBDA,Real,%DB42.DBD992,CP3 STOKER PID AIR LAMBDA,Cyclic in operation,1 s
DB SCADA DATA.BIT_DATA.SOOTBLOWERS.CP8_2MTR02_REV,Bool,%DB45.DBX10.5,CP8 SUPERHEATER SOOTBLOWER 2 MOTOR RUN REVERSE,Cyclic in operation,1 s
DB MISCELLANEOUS.BITS.BURNER.RECIRC_DAMPER_MD,Bool,%DB1.DBX38.2,CP13 RECIRCULATION AIR DAMPER MANUAL MODE SELECT (SCADA),Cyclic in operation,1 s
